text,label
ive quite itchy recently rashy patches skin also certain regions darker colour rest skin ive got firm lumps,8
really high fever im trouble breathing im sweating lot feeling really cold tired heart beating really fast brownish sputum,14
standing walking long periods time causing lot pain legs feels like cramp becomes worse longer feet,17
trouble breathing especially exercising im flushed sweating unexpected way yeast infections lot,19
time feel fatigued dont want eat anything get high fever chills every night moreover vomiting since yesterday,16
neck tight muscles felt quite weak recently tough behalf maneuver around changing stiff thanks swollen joints walking additionally uncomfortable,1
nasal congestion blocked nose occasion night stiffness chest pain additionally ive lost senses taste smell,18
ive struggling difficulty breathing constant cough fatigue fever extremely high ive coughing lot thick mucoid sputum hard deal im feeling drained worn,2
swelling legs causing difficulty fitting shoes cant sprint stand long periods time see swollen blood vessels,17
experiencing diarrhea loose watery stools several times day lost appetite feel nauseated time starting get mild fever,16
dont feel like eating swallowing challenging even eating little meals frequently get lingering sense fullness typically heartburn nausea tingling throat,21
eyes usually red inflamed impression something clogging sinuses ive coughing lot gunk chest hurts cant smell anything muscles aching,5
ive feeling really exhausted sick stomach ive really bad cough throat hurt lot ive experienced substantial sinus pressure congested nose im really unpleasant worn,5
lost appetite noticed significant weight loss abdominal pain especially area stomach intestines concerned health,16
emotions change difficulties focusing times mind might cloudy hazy making challenging even simple tasks,19
along impaired seeing excessive eating sore neck melancholy impatience constant headaches ive also fighting heartburn acid reflux indigestion,13
rashes face starting small sores around nose often yellow fluid comes sores sores becoming extremely painful,10
ive feeling really weak muscles neck really stiff joints swelling hard move around without feeling stiff walking really painful,1
fatigue feeling extreme makes difficult perform even basic tasks feel vomitting developed rashes arms neck legs,6
ive high temperature vomiting chills intense itching also headache perspiring lot discomfort also brought nausea muscle ache,12
bowel motions giving lot problems right going difficult going hurts go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,7
ive sneezing nonstop cant seem shake chill im feeling really weak tired cough wont go away fever really high,5
feeling excessively hungry even eating stiff neck,13
urinating blood occasionally feel queasy urinating frequently almost fever time,23
im always worn experiencing tingle throat ive also started dry skin eyes occasionally swell,18
fever feel quite woozy lightheaded heart pounding head absolutely foggy ability think properly impaired everything appears somewhat blurry,20
ive recently experiencing severe skin rash blackheads pimples packed pus everywhere additionally skin scurring lot,0
ive recently developed terrible rash skin riddled blackheads pusfilled pimples skin also scurrying everywhere,0
ive struggling fatigue constant cough thats making difficult breathe fever high ive coughing lot thick mucoid sputum,2
ive experiencing problems using restroom recently quite difficult go hurts ive also experiencing buttock soreness bloody stools anus also quite itching sensitive,7
morning saw large rash body lot pusfilled pimples blackheads face skin scurrying lot,0
skin occasionally peels rashes makes vulnerable infections hands begin shake occasionally tremors,20
lower abdomen hurts urinate feels like exploding ive low body temps ever since started new symptoms ive weak,23
stomach ache keeps falling staying asleep using restroom feel worn lose interest food im constantly pretty anxious,22
experiencing muscle pain headache muscle pain feels like constant ache worse try use affected muscles small red spots developing face neck arms,6
skin peeling places especially knees elbows arms peeling often accompanied painful burning sensation also developing small dents nails really concerning,15
dry flaky areas skin prone infections joints excruciating agony skin knees elbows beginning flake,15
last two days rash face gotten severe inflamed blisters begun bleed clear pus really painful deal,10
im drenched sweat struggling breathe dont feel well lot mucous throat chest aches heart racing im coughing mucus crimson colour,14
terrible pain abdominal part ive feeling really nauseated im also experiencing mild fever really worried,16
experiencing intense itching vomiting fatigue also lost weight high fever skin turned yellow urine dark also experiencing abdominal pain,11
struggle focus emotional swings times head seems cloudy foggy making challenging even simple tasks,19
silver like dusting skin especially lower back scalp dusting made small scales flake easily scratch,15
frequently get swallowing issues sensation food getting stuck throat regularly belch feel bloated aftertaste unpleasant time,22
get burning sensation pee sometimes lot pain foul smelling urine getting urges urinate night,23
struggling digestive issues including acid reflux indigestion well regular headaches impaired vision excessive hunger sore neck depression irritability visual disturbance,13
asthma like symptoms like wheezing difficulty breathing often get fever headaches feel tired time,18
ive lost lot stuff bloody stools including iron bloos result anaemia generally feel rather weak,22
along change taste smell tongue also metallic aftertaste occasionally get severe joint muscular pain,20
back pain persistent cough numbness arms legs bothering ive trouble staying balanced experiencing dizziness neck hurts,3
ive suffering chills tiredness cough recently ive sweating tremendously feeling overall unwell weak ive also thick black phlegm chest aches heart racing,14
high fever chills severe itching along headache excessive sweating ive terrible nausea muscle ache,12
ive got high fever cant seem catch breath ive sweating profusely generally feeling ill weak ive also quite thick black phlegm chest aches heart racing rapidly,14
ive experiencing severe itching chills vomiting high fever im also sweating excessively headache nausea muscle pain also causing discomfort,12
constipation belly pain really uncomfortable belly pain getting worse starting affect daily life moreover get chills every night followed mild fever,16
tongue also metallic aftertaste addition change taste scent occasionally get acute muscle joint ache,20
ive experiencing lot bowel movement issues recently difficult go hurts anus quite painful bleeding whenever go really painful im really uncomfortable,7
acidity indigestion among digestive problems ive along regular headaches blurred vision increased hunger stiff neck sadness impatience visual disruption,13
abdominal pain gets worse bend lie feel discomfort eat certain foods spicy acidic food sometimes get loose stools,22
severe itching vomiting fatigue also lost weight high fever skin turned yellow urine dark also experiencing abdominal pain,11
ive experiencing bowel movements constipated diarrhoeic often lack eat energy,22
days ive suffering headache chest pain today dizziness lack balance got considerably worse,9
high fever really weak face gotten sores blisters itchy painful yellow ooze frequently leaks wounds,10
strong itchiness chills nausea high fever part current condition besides headache ive perspiring lot ive uncomfortable nausea muscle ache,12
sore throat frequently sneeze sometimes skin around eyes lips swells cant stop sneezing get going,18
difficulty breathing especially physical activity unusual sweating flushing frequently get yeast infections,19
ive fever cough wont go away shortness breath addition ive coughing lot thick mucoid saliva feel quite worn weak,2
rash legs spreading becoming severe become difficult run,17
legs causing lot discomforts exercise get frequent cramps blood vessels become quite noticeable,17
stomach ache bending lying makes worse consume certain meals spicy acidic cuisine discomfort sometimes causes loose stools,22
developed minor rash near nose days ago rash accompanied burning sensation redness skin feel kind infection,10
rash skin worse winter months air dry find moisturize frequently use humidifiers keep skin hydrated,15
ive experiencing lot problems bowel motions recently difficult go hurts anus quite painful bleeding whenever go excruciatingly painful im quite uneasy,7
strong itchiness chills nausea high fever part current condition besides headache ive perspiring lot ive bothered nausea well muscle ache,12
